temperature;global_horizontal_rad;direct_normal_rad;dif_rad_horizontal;irr_rad;wind_speed;humidity
2.7;0;0;0;264;1.0;89
1.2;0;0;0;258;2.6;93
0.2;0;0;0;249;1.5;95
-0.5;0;0;0;246;2.1;97
-0.8;0;0;0;245;3.1;98
-1.1;0;0;0;243;2.6;98
1.0;0;0;0;251;1.0;86
0.7;0;0;0;255;1.0;93
0.6;19;0;19;255;0.0;96
2.5;52;7;51;264;2.6;91
5.7;92;17;88;282;2.6;86
7.9;115;22;109;288;5.7;80
8.7;116;22;110;307;7.2;81
8.9;95;17;91;312;7.2;81
8.8;57;4;56;323;8.7;81
8.9;6;0;6;323;7.7;81
8.7;0;0;0;323;9.3;85
8.5;0;0;0;332;9.3;88
8.5;0;0;0;332;8.7;93
8.3;0;0;0;331;9.8;94
8.3;0;0;0;332;11.3;96
8.5;0;0;0;333;10.3;99
9.0;0;0;0;336;12.3;97
9.6;0;0;0;340;9.3;99
10.4;0;0;0;345;8.7;99
11.4;0;0;0;350;6.7;95
11.6;0;0;0;351;8.7;95
11.8;0;0;0;352;8.7;94
11.9;0;0;0;352;7.2;90
11.5;0;0;0;324;7.7;88
11.7;0;0;0;340;7.2;85
11.4;0;0;0;339;7.2;88
11.2;11;0;11;316;7.7;85
11.6;20;0;20;324;6.7;85
11.1;36;0;36;322;6.7;90
11.1;45;0;45;348;7.7;95
12.0;45;0;45;353;9.8;92
12.0;95;24;90;343;9.8;92
12.0;57;3;57;342;8.2;86
11.2;15;0;15;337;7.7;85
10.1;0;0;0;342;6.7;92
9.6;0;0;0;339;5.1;95
9.7;0;0;0;339;5.1;90
8.7;0;0;0;332;5.7;87
8.3;0;0;0;331;4.1;89
7.9;0;0;0;328;4.1;88
7.7;0;0;0;319;3.6;91
8.4;0;0;0;322;5.7;86
7.3;0;0;0;296;3.6;88
6.6;0;0;0;282;4.1;83
5.2;0;0;0;275;4.6;81
5.7;0;0;0;287;3.1;83
5.6;0;0;0;287;2.6;89
5.5;0;0;0;278;2.6;92
6.9;0;0;0;284;3.6;86
7.0;0;0;0;289;4.1;85
